name,description,long_description
RNA-seq: Differential Gene Expression (DGE) Analysis for RNA-seq Data,Differential Gene Expression analysis for high throughput RNA sequencing data.,"DGE analysis is a very common method for RNA-Seq data. This method allows for the investigation of expressed genes between two or more conditions. Tools included in this app are SRA Toolkit, FastQC, STAR, featureCounts, and DESeq2."
scDeepCluster: Deep Clustering for Single Cell RNA-Seq Data,Model-based deep embedding clustering for Single Cell RNA-seq data.,"<p><span style=""color: rgb(34,34,34); background-color: rgb(255,255,255)"">scDeepCluster, is a single-cell model-based deep embedded clustering method, which simultaneously learns feature representation and clustering via explicit modelling of scRNA-seq data generation. Based on testing extensive simulated data and real datasets from four representative single-cell sequencing platforms, scDeepCluster outperformed state-of-the-art methods under various clustering performance metrics and exhibited improved scalability, with running time increasing linearly with sample size. Its accuracy and efficiency make scDeepCluster a promising algorithm for clustering large-scale scRNA-seq data.</span><span style=""font-size: 14px""><br><br></span><span style=""font-weight: bold"">Example use case: </span>exploring cell heterogeneity and diversity in cancer research<span style=""font-weight: bold; font-size: 14px""><br></span><span style=""font-size: 14px""><br></span><span style=""font-weight: bold"">Technology: </span>Autoencoders</p>"
Prostate Region Segmentation: Medical Image-nnUnet,Prostate transitional zone and peripheral zone segmentation,"<p>Prostate multiparametric MRI (mpMRI) studies comprising T2-weighted, Diffusion-weighted and T1-weighted contrast enhanced series. </p>"
Brain Tumor Segmentation: Medical Image-nnUnet,Gliomas segmentation tumour and oedema in on brain images,"<p>Segmentation of possible glioma tumours and edemas on brain MRI scans using a pre-trained nnU-Net architecture. Given an MRI scan in .NIfTI format, this app will return your MRI scans with glioma and edema regions highlighted, available for download.</p>
<p>Data requirements: Brain tumor MRI scans, with four MRI modalities as T1w, t1gd, T2w, and FLAIR.</p>
"
Clipper: Find Discoveries in High-Throughput Data,Statistical method for controlling false positive rates in high-throughput biological data with two conditions of diverse types.,"<p>Identifying ""interesting"" features with false discovery rate (FDR) control where ""interesting"" means ""enriched"" or ""differential"", without using <span style=""font-style: italic"">p</span>-values<br><br><span style=""font-weight: bold"">Example use case: </span>identification of differentially expressed genes from genome-wide gene expression data or peak-calling from ChIP-seq data, peptide-identification from mass spectrometry data<br><br><span style=""font-weight: bold"">Limitations: </span>Works best with two conditions</p>"
PathfindR: Enrichment Analysis for Omics Data,"pathfindR is a tool for enrichment analysis via active subnetworks. The package also offers functionalities to cluster the enriched terms and identify representative terms in each cluster, score the enriched terms per sample, and visualize analysis results.","<div><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">The active-subnetwork-oriented enrichment analysis approach of pathfindR involves mapping input genes onto a protein interaction network, identifying active subnetworks based on their scores and significant gene content, and then performing enrichment analyses to identify significantly enriched terms. The results are reported in a data frame and an HTML report with visualizations.<br></span><br><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">Example use case: </span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">Analyzing gene expression data to identify enriched pathways or gene sets associated with differentially expressed genes<br><br></span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">Technology: </span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">A software tool for enrichment analysis of gene expression data. Input data should be in .csv, .txt, or .tsv format, and should include 3 columns only: (i) gene names, symbols or pseudonyms, (ii) log fold change (logFC), and (iii) p-values, in this order.</span><span style=""display: inline !important; font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; orphans: 2; font-size: 16px; font-variant-ligatures: normal; font-family: Poppins, sans-serif; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; float: none; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px""><br></span>&nbsp;<span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box""><br></span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">Limitations:<br></span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">-</span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">&nbsp;</span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">Reliance on protein interaction network data for mapping input genes.</span></div>
<div><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">- Need for appropriate thresholding of adjusted p-values for enrichment analysis.</span></div>
<div><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">- Potential for false positives or false negatives in the identification of active subnetworks and enriched terms.</span></div>
<div><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">- May not be suitable for datasets with small sample sizes or low statistical power.</span></div>
<div style=""--tw-invert: ; --tw-skew-y: 0; box-sizing: border-box; display: block; padding-left: 0.375em; --tw-slashed-zero: ; --tw-backdrop-invert: ; --tw-rotate: 0; list-style-type: disc; --tw-ring-offset-shadow: 0 0 transparent; --tw-ordinal: ; --tw-backdrop-sepia: ; position: relative; --tw-shadow: 0 0 transparent; --tw-ring-inset: ; --tw-scale-x: 1; border: 0px solid rgb(217, 217, 227); --tw-scale-y: 1; --tw-numeric-fraction: ; --tw-contrast: ; --tw-sepia: ; --tw-scroll-snap-strictness: proximity; --tw-numeric-figure: ; margin: 0px; --tw-translate-x: 0; --tw-backdrop-contrast: ; --tw-pinch-zoom: ; --tw-translate-y: 0; --tw-ring-color: rgba(59,130,246,0.5); --tw-blur: ; --tw-ring-shadow: 0 0 transparent; --tw-drop-shadow: ; --tw-backdrop-blur: ; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-saturate: ; --tw-numeric-spacing: ; --tw-backdrop-grayscale: ; --tw-hue-rotate: ; --tw-brightness: ; --tw-ring-offset-color: #fff; --tw-backdrop-saturate: ; --tw-backdrop-hue-rotate: ; --tw-grayscale: ; --tw-pan-x: ; --tw-backdrop-brightness: ; --tw-backdrop-opacity: ; --tw-pan-y: ; --tw-skew-x: 0; --tw-ring-offset-width: 0px; --tw-shadow-colored: 0 0 transparent""><br></div>"
scJoint: Transfer Learning for Combined Annotated CITE-seq and ASAP-seq Data,"scJoint is a transfer learning method to integrate atlas-scale, heterogeneous collections of scRNA-seq and scATAC-seq data.","<p><span style=""font-size: 12px"">scJoint leverages information from annotated scRNA-seq data in a semisupervised framework and uses a neural network to simultaneously train labeled and unlabeled data, allowing label transfer and joint visualization in an integrative framework. Using atlas data as well as multimodal datasets generated with ASAP-seq and CITE-seq, we demonstrate that scJoint is computationally efficient and consistently achieves substantially higher cell-type label accuracy than existing methods while providing meaningful joint visualizations. Thus, scJoint overcomes the heterogeneity of different data modalities to enable a more comprehensive understanding of cellular phenotypes.</span></p>"
Liver Cancer Segmentation: Medical Image-nnUnet,Liver cancer segmentation,"<p>Automatic segmentation of liver and liver tumor in contrast-enhanced abdominal CT scans using a pre-trained nnU-Net architecture.</p>
"
Hippocampus Anterior & Posterior Segmentation: Medical Image-nnUnet,Hippocampus identification and segmentation,"<p>Segments the hippocampus into anterior and posterior regions</p>
"
AlphaFold2: 3D Protein Structure Prediction,AlphaFold predicts 3D models of protein structures and has the potential to accelerate research in every field of biology.,"<p>Revolutionary 3D protein structure prediction model with high accuracy that allows for a close study of proteins without an expensive X-ray crystallography process<br><br><span style=""font-weight: bold"">Example use case: </span>Prediction of protein disorders, studying enzymes, and developing novel protein-based drugs<br><br><span style=""font-weight: bold"">Technology: </span>Novel neural network architectures and training procedures</p>"
