name,description,long_description,author,tags,id,input_parameters,upload_options
RNA-seq: Differential Gene Expression (DGE) Analysis for RNA-seq Data,Differential Gene Expression analysis for high throughput RNA sequencing data.,"DGE analysis is a very common method for RNA-Seq data. This method allows for the investigation of expressed genes between two or more conditions. Tools included in this app are SRA Toolkit, FastQC, STAR, featureCounts, and DESeq2.",Superbio,"['DGE Analysis', 'fastq', 'fastq.gz', 'fastq.tar.gz', 'fastq.zip', 'Transcriptomics']",6257532cc7304ed85441d137,"[{'input_type': 'dropdown', 'title': 'REFERENCE GENOME', 'name': 'ref_genome', 'default_value': 'homo_sapiens_grch38', 'options': [{'label': 'Homo sapiens', 'value': 'homo_sapiens_grch38'}, {'label': 'Saccharomyces cerevisiae', 'value': 'saccharomyces_cerevisiae'}, {'label': 'Mus musculus', 'value': 'mus_musculus'}, {'label': 'Danio rerio', 'value': 'danio_rerio'}], 'tooltip': 'Please select a reference genome of organism that matched your accession ID. When you submit the job, It will download automatically reference genome from ENSEMBL database to use in downstream analysis.'}, {'input_type': 'dropdown', 'title': 'LIBRARY OUTPUT', 'name': 'single_or_paired', 'default_value': 'SINGLE', 'options': [{'label': 'Single-end', 'value': 'SINGLE'}, {'label': 'Paired-end', 'value': 'PAIRED'}], 'tooltip': 'If your experimental design, single-end please select single-end otherwise choose paired-end.'}, {'input_type': 'dropdown', 'title': 'CONTROL GROUP', 'name': 'control_level', 'default_value': 'undefined', 'options': [], 'tooltip': 'Algorithm will choose a reference level for factors based on alphabetical order. Then, if you never tell the DESeq2 functions which level you want to compare against (e.g. which level represents the control group), the comparisons will be based on the alphabetical order of the levels. So please specify here this information.'}, {'input_type': 'user_input', 'type': 'integer', 'title': 'GENOMESAINDEXNBASES', 'name': 'index_n_bases_val', 'default_value': 14, 'min_value': 1, 'max_value': 30, 'tooltip': 'Length (bases) of the SA pre-indexing string. Typically between 10 and 15.\nLonger strings will use much more memory, but allow faster searches. For small\ngenomes, the parameter {genomeSAindexNbases must be scaled down to\nmin(14, log2(GenomeLength)/2 - 1).'}, {'input_type': 'user_input', 'type': 'integer', 'title': 'ALIGNINTRONMIN', 'name': 'align_intron_min', 'default_value': 21, 'min_value': 1, 'max_value': 9999, 'tooltip': 'Minimum intron size: genomic gap is considered intron if its\nlength>=alignIntronMin, otherwise it is considered Deletion'}, {'input_type': 'user_input', 'type': 'integer', 'title': 'ALIGNINTRONMAX', 'name': 'align_intron_max', 'default_value': 0, 'min_value': 0, 'max_value': 9999, 'tooltip': 'Maximum gap between two mates, if 0, max intron gap will be determined by\n(2^winBinNbits)*winAnchorDistNbins'}, {'input_type': 'user_input', 'type': 'integer', 'title': 'FILTER LOW GENE COUNTS', 'name': 'filter_low_gene_counts', 'default_value': 10, 'min_value': 0, 'min_value_inclusive': True, 'max_value': 9999, 'max_value_included': True, 'increment': 1, 'tooltip': 'While it is not necessary to pre-filter low count genes before running the DESeq2 functions, there are two reasons which make pre-filtering useful: by removing rows in which there are very few reads and we increase the speed of the transformation and testing functions within DESeq2.'}, {'input_type': 'user_input', 'type': 'float', 'title': 'FDR - ADJUSTED P-VALUE CUTOFF', 'name': 'adjusted_p_value_threshold', 'default_value': 0.05, 'min_value': 1e-05, 'max_value': 0.99, 'tooltip': 'The p-adjusted values generally used to determine significant genes. The important genes can be output for visualization and/or functional analysis.\nWe are saying that the proportion of false positives we expect amongst our differentially expressed genes is 5%. For example, if you call 1000 genes as differentially expressed with an FDR cutoff of 0.05, you expect 50 of them to be false positives.'}]",
scDeepCluster: Deep Clustering for Single Cell RNA-Seq Data,Model-based deep embedding clustering for Single Cell RNA-seq data.,"<p><span style=""color: rgb(34,34,34); background-color: rgb(255,255,255)"">scDeepCluster, is a single-cell model-based deep embedded clustering method, which simultaneously learns feature representation and clustering via explicit modelling of scRNA-seq data generation. Based on testing extensive simulated data and real datasets from four representative single-cell sequencing platforms, scDeepCluster outperformed state-of-the-art methods under various clustering performance metrics and exhibited improved scalability, with running time increasing linearly with sample size. Its accuracy and efficiency make scDeepCluster a promising algorithm for clustering large-scale scRNA-seq data.</span><span style=""font-size: 14px""><br><br></span><span style=""font-weight: bold"">Example use case: </span>exploring cell heterogeneity and diversity in cancer research<span style=""font-weight: bold; font-size: 14px""><br></span><span style=""font-size: 14px""><br></span><span style=""font-weight: bold"">Technology: </span>Autoencoders</p>",Tian et al.,"['Dimensionality Reduction', 'h5', 'Single-Cell Bioinformatics']",62712ec148139943a4273ae1,"[{'default_value': 20, 'increment': 1, 'input_type': 'slider', 'max_value': 50, 'max_value_included': True, 'min_value': 2, 'min_value_inclusive': True, 'name': 'knn', 'title': 'Number of Neighbors', 'tooltip': 'Parameter for KNN. Number of neighbors used to cluster cells together.', 'type': 'integer'}, {'default_value': 0, 'input_type': 'user_input', 'min_value': 0, 'name': 'select_genes', 'title': 'Filter genes', 'tooltip': 'Filters on the top N most important genes. Leave blank to include all genes.', 'type': 'integer'}, {'default_value': 100, 'increment': 10, 'input_type': 'slider', 'max_value': 300, 'max_value_included': True, 'min_value': 10, 'min_value_inclusive': True, 'name': 'pretrain_epochs', 'title': 'Pretraining epochs ', 'tooltip': 'Parameter for Variational Auto Encoder. Number of epochs used to pretrain deep cluster model', 'type': 'integer'}, {'default_value': 0.8, 'increment': 0.05, 'input_type': 'slider', 'max_value': 0.9, 'max_value_included': True, 'min_value': 0.1, 'min_value_inclusive': True, 'name': 'resolution', 'title': 'Resolution', 'tooltip': 'Parameter for Louvain community detection. Effects the size of the recovered clusters.', 'type': 'float'}]","[{'allowedFormats': {'fileExtensions': ['h5'], 'title': '.h5', 'value': ''}, 'dataStructure': 'scRNA-seq data in .h5 format', 'demoDataDetails': {'description': 'An example dataset comprising approximately 5000 worm neuron cells', 'fileName': 'worm_neuron_cell.h5', 'filePath': 'apps/scDeepCluster/resources/worm_neuron_cell.h5', 'fileSource': [{'title': 'Data Source', 'url': 'https://figshare.com/articles/dataset/scDeepCluster_supporting_data/17158025'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Select Single Cell RNA-Seq Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
Prostate Region Segmentation: Medical Image-nnUnet,Prostate transitional zone and peripheral zone segmentation,"<p>Prostate multiparametric MRI (mpMRI) studies comprising T2-weighted, Diffusion-weighted and T1-weighted contrast enhanced series. </p>","Division of Medical Image Computing, German Cancer Research Center (DKFZ)","['Image Segmentation', 'Anatomy', 'nii.gz', 'Biomedical Image Analysis and Interpretation']",627146e448139943a4273ae3,,"[{'allowedFormats': {'title': '.nii.gz', 'value': 'application/gzip', 'fileExtensions': ['nii', 'gz']}, 'dataStructure': 'dataStructure', 'demoDataDetails': {'description': 'Prostate multiparametric MRI (mpMRI) studies comprising T2-weighted, Diffusion-weighted and T1-weighted contrast enhanced series.', 'fileName': 'prostate_03.nii.gz', 'filePath': 'apps/image_segmentation_prostate/resources/demo_data/prostate_03.nii.gz', 'fileSource': [{'title': 'Data Source', 'url': 'http://medicaldecathlon.com'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Select Images to Segment', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
Brain Tumor Segmentation: Medical Image-nnUnet,Gliomas segmentation tumour and oedema in on brain images,"<p>Segmentation of possible glioma tumours and edemas on brain MRI scans using a pre-trained nnU-Net architecture. Given an MRI scan in .NIfTI format, this app will return your MRI scans with glioma and edema regions highlighted, available for download.</p>
<p>Data requirements: Brain tumor MRI scans, with four MRI modalities as T1w, t1gd, T2w, and FLAIR.</p>
","Division of Medical Image Computing, German Cancer Research Center (DKFZ)","['Image Segmentation', 'Anatomy', 'nii.gz', 'Biomedical Image Analysis and Interpretation']",627146f148139943a4273ae4,,"[{'allowedFormats': {'title': '.nii.gz', 'value': 'application/gzip', 'fileExtensions': ['nii', 'gz']}, 'dataStructure': 'dataStructure', 'demoDataDetails': {'description': 'Brain tumor MRI scans, with four MRI modalities as T1w, t1gd, T2w, and FLAIR.', 'fileName': 'BRATS_485.nii.gz', 'filePath': 'apps/image_segmentation_brain/resources/demo_data/BRATS_485.nii.gz', 'fileSource': [{'title': 'Data Source', 'url': 'https://www.med.upenn.edu/sbia/brats2017.html/'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Select Images to Segment', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
Clipper: Find Discoveries in High-Throughput Data,Statistical method for controlling false positive rates in high-throughput biological data with two conditions of diverse types.,"<p>Identifying ""interesting"" features with false discovery rate (FDR) control where ""interesting"" means ""enriched"" or ""differential"", without using <span style=""font-style: italic"">p</span>-values<br><br><span style=""font-weight: bold"">Example use case: </span>identification of differentially expressed genes from genome-wide gene expression data or peak-calling from ChIP-seq data, peptide-identification from mass spectrometry data<br><br><span style=""font-weight: bold"">Limitations: </span>Works best with two conditions</p>",JSB-UCLA,"['Data Analysis', 'Enrichment', 'Gene Expression', 'csv', 'Computational Biology and Bioinformatics']",627320c048139943a4273ae5,"[{'default_value': {'label': 'Differential', 'value': 'differential'}, 'input_type': 'dropdown', 'name': 'analysis', 'options': [{'label': 'Differential', 'value': 'differential'}, {'label': 'Enrichment', 'value': 'enrichment'}], 'title': 'Analysis', 'tooltip': 'Enriched features are defined as those that have higher expected measurements under the experimental/treatment condition than the\nbackground condition, i.e., the negative control. The detection of such enriched features is called enrichment analysis. Chromatin immunoprecipitation sequencing (ChIP-seq) data and identifying peptides from mass spectrometry (MS) data can be shown as examples. On the other hand, differential features are defined as those that have different expected measurements (without measurement errors) between two conditions, and the detection of such differential features is called\ndifferential analysis. Most popular differential analysis can be differentially\nexpressed genes (DEGs) from genome-wide gene expression data and differentially chromosomal interaction regions (DIRs) from Hi-C data.'}, {'default_value': True, 'input_type': 'checkbox', 'name': 'index_column', 'optional': True, 'title': 'First column is Index/Feature Name', 'tooltip': 'Select if the first column of your uploaded data is the feature name. If you use demo data, please keep it as default. Default: Selected'}]","[{'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'text/csv'}, 'dataStructure': ' Each column should be a sample, and each row a variable of interest. If the first column contains the “Feature Name” or “Index” (e.g. Gene name), check “First column is Index/Feature Name” (this will tell Clipper to not include this column in the analysis). If no “Feature Name” is provided, then both data sets should have the same size and each row represent the same variable of interest.', 'demoDataDetails': {'description': 'Check the ""FIRST COLUMN IS INDEX/FEATURE NAME"" box if using this data. \nRNA-seq data of classical and non-classical human monocytes were used in demo data. Only, 3 classical and 3 non-classical samples are used as in the article. In this dataset, expected gene expression changes are related to be immune response process. SRA Accession ID: SRP082682', 'fileName': 'deg_background_preprocessed.csv', 'filePath': 'apps/clipper/resources/demo_data/deg_background_preprocessed.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://www.biorxiv.org/content/10.1101/2020.11.19.390773v7/'}], 'previewFileName': 'apps/clipper/resources/demo_data/deg_background_preprocessed.csv'}, 'supportsPreview': True, 'disabled': False, 'name': 'control', 'title': 'Upload Background/Control', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}, {'allowedFormats': {'fileExtensions': ['csv'], 'title': '.csv', 'value': 'text/csv'}, 'dataStructure': 'Same as described above', 'demoDataDetails': {'description': 'RNA-seq data of classical and non-classical human monocytes were used in demo data. Only, 3 classical and 3 non-classical samples are used as in the article. In this dataset, expected gene expression changes are related to be immune response process. SRA Accession ID: SRP082682', 'fileName': 'deg_experimental_preprocessed.csv', 'filePath': 'apps/clipper/resources/demo_data/deg_experimental_preprocessed.csv', 'fileSource': [{'title': 'Data Source', 'url': 'https://www.biorxiv.org/content/10.1101/2020.11.19.390773v7'}], 'previewFileName': 'apps/clipper/resources/demo_data/deg_experimental_preprocessed.csv'}, 'supportsPreview': True, 'disabled': False, 'name': 'experiment', 'title': 'Upload Experimental/Treatment', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
PathfindR: Enrichment Analysis for Omics Data,"pathfindR is a tool for enrichment analysis via active subnetworks. The package also offers functionalities to cluster the enriched terms and identify representative terms in each cluster, score the enriched terms per sample, and visualize analysis results.","<div><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">The active-subnetwork-oriented enrichment analysis approach of pathfindR involves mapping input genes onto a protein interaction network, identifying active subnetworks based on their scores and significant gene content, and then performing enrichment analyses to identify significantly enriched terms. The results are reported in a data frame and an HTML report with visualizations.<br></span><br><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">Example use case: </span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">Analyzing gene expression data to identify enriched pathways or gene sets associated with differentially expressed genes<br><br></span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">Technology: </span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">A software tool for enrichment analysis of gene expression data. Input data should be in .csv, .txt, or .tsv format, and should include 3 columns only: (i) gene names, symbols or pseudonyms, (ii) log fold change (logFC), and (iii) p-values, in this order.</span><span style=""display: inline !important; font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; orphans: 2; font-size: 16px; font-variant-ligatures: normal; font-family: Poppins, sans-serif; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; float: none; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px""><br></span>&nbsp;<span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box""><br></span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">Limitations:<br></span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">-</span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">&nbsp;</span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">Reliance on protein interaction network data for mapping input genes.</span></div>
<div><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">- Need for appropriate thresholding of adjusted p-values for enrichment analysis.</span></div>
<div><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">- Potential for false positives or false negatives in the identification of active subnetworks and enriched terms.</span></div>
<div><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">- May not be suitable for datasets with small sample sizes or low statistical power.</span></div>
<div style=""--tw-invert: ; --tw-skew-y: 0; box-sizing: border-box; display: block; padding-left: 0.375em; --tw-slashed-zero: ; --tw-backdrop-invert: ; --tw-rotate: 0; list-style-type: disc; --tw-ring-offset-shadow: 0 0 transparent; --tw-ordinal: ; --tw-backdrop-sepia: ; position: relative; --tw-shadow: 0 0 transparent; --tw-ring-inset: ; --tw-scale-x: 1; border: 0px solid rgb(217, 217, 227); --tw-scale-y: 1; --tw-numeric-fraction: ; --tw-contrast: ; --tw-sepia: ; --tw-scroll-snap-strictness: proximity; --tw-numeric-figure: ; margin: 0px; --tw-translate-x: 0; --tw-backdrop-contrast: ; --tw-pinch-zoom: ; --tw-translate-y: 0; --tw-ring-color: rgba(59,130,246,0.5); --tw-blur: ; --tw-ring-shadow: 0 0 transparent; --tw-drop-shadow: ; --tw-backdrop-blur: ; --tw-border-spacing-x: 0; --tw-border-spacing-y: 0; --tw-saturate: ; --tw-numeric-spacing: ; --tw-backdrop-grayscale: ; --tw-hue-rotate: ; --tw-brightness: ; --tw-ring-offset-color: #fff; --tw-backdrop-saturate: ; --tw-backdrop-hue-rotate: ; --tw-grayscale: ; --tw-pan-x: ; --tw-backdrop-brightness: ; --tw-backdrop-opacity: ; --tw-pan-y: ; --tw-skew-x: 0; --tw-ring-offset-width: 0px; --tw-shadow-colored: 0 0 transparent""><br></div>",Ege Ulgen,"['DGE Analysis', 'Enrichment', 'txt', 'tsv', 'csv', 'Biomarker Discovery and Identification', 'Transcriptomics']",62b464ea76a7c8ca2ebd327b,"[{'default_value': {'label': 'KEGG', 'value': 'KEGG'}, 'disabled': False, 'input_type': 'dropdown', 'name': 'gene_set_db', 'options': [{'label': 'KEGG', 'value': 'KEGG'}, {'label': 'Reactome', 'value': 'Reactome'}, {'label': 'BioCarta', 'value': 'BioCarta'}, {'label': 'GO-All', 'value': 'GO-All'}, {'label': 'GO-BP', 'value': 'GO-BP'}, {'label': 'GO-CC', 'value': 'GO-CC'}, {'label': 'GO-MF', 'value': 'GO-MF'}, {'label': 'cell_markers', 'value': 'cell_markers'}, {'label': 'mmu_KEGG', 'value': 'mmu_KEGG'}], 'title': 'Gene Set', 'tooltip': 'Name of the gene sets to be used for enrichment analysis.'}, {'default_value': 10, 'increment': 1, 'input_type': 'slider', 'max_value': 100, 'max_value_included': True, 'min_value': 5, 'min_value_inclusive': True, 'name': 'gset', 'title': 'Minimum Gene Set Size', 'tooltip': 'minimum number of genes a term must contain.', 'type': 'integer'}, {'default_value': 0.05, 'increment': 0.01, 'input_type': 'slider', 'max_value': 0.25, 'max_value_included': True, 'min_value': 0.01, 'min_value_inclusive': True, 'name': 'pvalue', 'title': 'P-Value Threshold', 'tooltip': 'the p value threshold to use when filtering the input data frame.', 'type': 'float'}]","[{'allowedFormats': {'fileExtensions': ['csv', 'txt', 'tsv'], 'title': '.txt, .csv, .tsv etc', 'value': 'text/csv,text/plain,text/tsv'}, 'dataStructure': 'Input data should be in .csv, .txt, or .tsv format, and should include gene names, symbols or pseudonyms, log fold change (logFC), and p-values, in this order', 'demoDataDetails': {'description': 'Data taken from GEO accession ID GSE171177: a dataset focused on comparing cancer proteostasis versus control samples', 'fileName': 'GSE171177-diff-gene-exp.-table.txt', 'filePath': 'apps/pathfindr/GSE171177-diff-gene-exp.-table.txt', 'fileSource': [{'title': 'Data Source', 'url': 'https://www-ncbi-nlm-nih-gov.ezproxy.u-pec.fr/geo/query/acc.cgi?acc=GSE171177'}], 'previewFileName': 'apps/pathfindr/GSE171177-diff-gene-exp.-table.txt'}, 'disabled': False, 'name': 'diff_file', 'title': 'Upload Differential Expression Table', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
scJoint: Transfer Learning for Combined Annotated CITE-seq and ASAP-seq Data,"scJoint is a transfer learning method to integrate atlas-scale, heterogeneous collections of scRNA-seq and scATAC-seq data.","<p><span style=""font-size: 12px"">scJoint leverages information from annotated scRNA-seq data in a semisupervised framework and uses a neural network to simultaneously train labeled and unlabeled data, allowing label transfer and joint visualization in an integrative framework. Using atlas data as well as multimodal datasets generated with ASAP-seq and CITE-seq, we demonstrate that scJoint is computationally efficient and consistently achieves substantially higher cell-type label accuracy than existing methods while providing meaningful joint visualizations. Thus, scJoint overcomes the heterogeneity of different data modalities to enable a more comprehensive understanding of cellular phenotypes.</span></p>","Lin, Yingxin, et al.","['Classification', 'Proteomics', 'rds', 'Single-Cell Bioinformatics']",62bb86b823181fc4793a92bc,"[{'default_value': 20, 'increment': 1, 'input_type': 'slider', 'max_value': 100, 'max_value_included': True, 'min_value': 1, 'min_value_inclusive': True, 'name': 'epochs', 'title': 'Epochs', 'tooltip': 'How many epochs to train neural network. n.b. training occurs in two stages, so total epochs is double this number.', 'type': 'integer'}, {'default_value': 0.01, 'increment': 0.001, 'input_type': 'slider', 'max_value': 0.02, 'max_value_included': True, 'min_value': 0.001, 'min_value_inclusive': True, 'name': 'lr', 'title': 'Learning Rate', 'tooltip': 'Determines how quickly the neural network converges.', 'type': 'float'}, {'default_value': 30, 'increment': 1, 'input_type': 'slider', 'max_value': 100, 'max_value_included': True, 'min_value': 2, 'min_value_inclusive': True, 'name': 'neighbors', 'title': 'K- Nearest Neighbors', 'tooltip': 'How many neighbors to use for KNN calculations.', 'type': 'integer'}]","[{'allowedFormats': {'fileExtensions': ['rds'], 'title': '.rds', 'value': ''}, 'dataStructure': 'Input data should be in .rds format (obtained using R). Both ASAP-seq and CITE-seq data is required.', 'demoDataDetails': {'description': 'CITE-seq and ASAP-seq data is from 10x Genomics (https://www.10xgenomics.com/resources/datasets). See https://www.biorxiv.org/content/10.1101/2020.12.31.424916v3 for more details. ', 'fileName': 'sce_10xPBMC_rna.rds', 'filePath': 'apps/scjoint/resources/sce_10xPBMC_rna.rds', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/SydneyBioX/scJoint/blob/main/data.zip'}]}, 'disabled': False, 'name': 'sce_rna', 'title': 'CITE-seq Single Cell Experiment Data', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}, {'allowedFormats': {'fileExtensions': ['rds'], 'title': '.rds', 'value': ''}, 'dataStructure': 'Input data should be in .rds format (obtained using R). Both ASAP-seq and CITE-seq data is required.', 'demoDataDetails': {'description': 'CITE-seq and ASAP-seq data is from 10x Genomics (https://www.10xgenomics.com/resources/datasets). See https://www.biorxiv.org/content/10.1101/2020.12.31.424916v3 for more details. ', 'fileName': 'sce_10xPBMC_atac.rds', 'filePath': 'apps/scjoint/resources/sce_10xPBMC_atac.rds', 'fileSource': [{'title': 'Data Source', 'url': 'https://github.com/SydneyBioX/scJoint/blob/main/data.zip'}]}, 'disabled': False, 'name': 'sce_atac', 'title': 'ASAP-seq Single Cell Experiment File', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
Liver Cancer Segmentation: Medical Image-nnUnet,Liver cancer segmentation,"<p>Automatic segmentation of liver and liver tumor in contrast-enhanced abdominal CT scans using a pre-trained nnU-Net architecture.</p>
","Division of Medical Image Computing, German Cancer Research Center (DKFZ)","['Image Segmentation', 'Anatomy', 'nii.gz', 'Biomedical Image Analysis and Interpretation']",62bb8db923181fc4793a92bd,,"[{'allowedFormats': {'title': '.nii.gz', 'value': 'application/gzip', 'fileExtensions': ['gz']}, 'dataStructure': 'dataStructure', 'demoDataDetails': {'description': 'Liver MRI scans, with one MRI modalities as T1w, t1gd, T2w, and FLAIR.', 'fileName': 'liver_demo.nii.gz', 'filePath': 'apps/image_segmentation_liver/resources/demo_data/liver_demo.nii.gz', 'fileSource': [{'title': 'Data Source', 'url': 'http://medicaldecathlon.com/'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Select Images to Segment', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
Hippocampus Anterior & Posterior Segmentation: Medical Image-nnUnet,Hippocampus identification and segmentation,"<p>Segments the hippocampus into anterior and posterior regions</p>
","Division of Medical Image Computing, German Cancer Research Center (DKFZ)","['Image Segmentation', 'Anatomy', 'nii.gz', 'Biomedical Image Analysis and Interpretation']",62bcdc56dd9ecc514ae82877,,"[{'allowedFormats': {'title': '.nii.gz', 'value': 'application/gzip', 'fileExtensions': ['nii', 'gz']}, 'dataStructure': 'dataStructure', 'demoDataDetails': {'description': 'Heart MRI scans, with MRI modality', 'fileName': 'hippocampus_demo.nii.gz', 'filePath': 'apps/image_segmentation_hippocampus/resources/demo_data/hippocampus_demo.nii.gz', 'fileSource': [{'title': 'Data Source', 'url': 'http://medicaldecathlon.com/'}]}, 'disabled': False, 'name': 'input_file', 'title': 'Select Images to Segment', 'uploadTypes': [{'title': 'Local', 'type': 'local'}, {'title': 'Remote', 'type': 'remote'}]}]"
AlphaFold2: 3D Protein Structure Prediction,AlphaFold predicts 3D models of protein structures and has the potential to accelerate research in every field of biology. and the authors are tagada group,"<p>Revolutionary 3D protein structure prediction model with high accuracy that allows for a close study of proteins without an expensive X-ray crystallography process<br><br><span style=""font-weight: bold"">Example use case: </span>Prediction of protein disorders, studying enzymes, and developing novel protein-based drugs<br><br><span style=""font-weight: bold"">Technology: </span>Novel neural network architectures and training procedures</p>",DeepMind,"['3D Protein Structure Prediction', 'Protein', 'fasta', 'Structural Bioinformatics']",62bf442025b09dead5853d24,"[{'input_type': 'user_input', 'name': 'protein_header', 'placeholder': 'protein_name', 'title': 'Protein Name', 'tooltip': 'Please provide a protein header name', 'type': 'text', 'validation': '.'}, {'input_type': 'user_input', 'name': 'sequence', 'placeholder': 'PIAQIHILEGRSDEQKETLIREVSE', 'title': 'Amino Acid Sequence', 'tooltip': 'Please provide a amino acid sequence', 'type': 'text', 'validation': '^[A-Z]+$'}, {'input_type': 'user_input', 'name': 'max_template_date', 'placeholder': 'YYYY-MM-DD', 'title': 'Max Template Date', 'tooltip': 'If you are predicting the structure of a protein that is already in PDB and you wish to avoid using it as a template, then\xa0max_template_date must be set to be before the release date of the structure. If you use example sample, use <2001-05-15> as date.', 'type': 'text', 'validation': '^\\d{4}\\-(0[1-9]|1[012])\\-(0[1-9]|[12][0-9]|3[01])$'}, {'default_value': {'label': 'reduced_dbs', 'value': 'reduced_dbs'}, 'disabled': True, 'hidden': False, 'input_type': 'dropdown', 'name': 'db_preset', 'options': [{'label': 'reduced_dbs', 'value': 'reduced_dbs'}, {'label': 'full_dbs', 'value': 'full_dbs'}], 'title': 'Database Preset', 'tooltip': 'To control MSA speed/quality tradeoff you can use db_preset flag. In beta version, only  —reduced_dbs flag selectable.'}, {'default_value': {'label': 'monomer', 'value': 'monomer'}, 'disabled': True, 'hidden': False, 'input_type': 'dropdown', 'name': 'model_preset', 'options': [{'label': 'monomer', 'value': 'monomer'}, {'label': 'monomer_casp14', 'value': 'monomer_casp14'}, {'label': 'monomer_ptm', 'value': 'monomer_ptm'}, {'label': 'multimer', 'value': 'multimer'}], 'title': 'Model Preset', 'tooltip': 'In beta version only monomer model preset available.\n\nmonomer: This is the original model used at CASP14 with no ensembling.\nmonomer_casp14 :This is the original model used at CASP14 with\xa0num_ensemble=8, matching our CASP14 configuration. This is largely provided for reproducibility as it is 8x more computationally expensive for limited accuracy gain (+0.1 average GDT gain on CASP14 domains).\nmonomer_ptm: This is the original CASP14 model fine tuned with the pTM head, providing a pairwise confidence measure. It is slightly less accurate than the normal monomer model.\nmultimer: This is the\xa0AlphaFold-Multimer\xa0model. To use this model, provide a multi-sequence FASTA file. In addition, the UniProt database should have been downloaded.\n'}]",
